MOUNT BAW BAW,,,,,"SNOW DEPTHS - NATURAL FROM 1993, SNOW-MAKING FROM 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Daily data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Day,,10 Year Average Snow Making Depth,10 Year Average Natural Snow Depth,2017 Natural Snow Depth,2017 Average depth in snow-making area (10 ha),+ means that snowmaking depth is = or > than natural snow depth,2016 Natural Snow Depth,2016 Average depth in snow-making area (10 ha),+ means that snowmaking depth is = or > than natural snow depth,2015 Natural Snow Depth,2015 Average depth in snow-making area (10 ha),+ means that snowmaking depth is = or > than natural snow depth,2014  Natural Snow Depth,2014 Average depth in snow-making area (10 ha),,2013 Natural Snow Depth,2013 Average depth in snow-making area (10 ha),,2012 Natural Snow Depth,2012 Average depth in snow-making area (10 ha),,2011 Natural Snow Depth,2011 Average depth in snow-making area (10 ha),,2010 Natural Snow Depth,2010 Average depth in snow-making area (10 ha),,2009 Natural Snow Depth,2009 Average depth in snow-making area (10 ha),,2008 Natural Snow Depth,2008 Average depth in snow-making area (10 ha),,2007 Natural Snow Depth,2007 Average depth in snow-making area (10 ha),BLANK,2006 Natural Snow Depth,2006 Average depth in snow-making area (10 ha),+ means that snowmaking depth is = or > than natural snow depth,2005,BLANK,BLANK,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jul,28/7,,43.70,32,11,39,,12,22,+,41,61,,34,70,,4,10,,5,25,+,36,45,+,15,22,,25,35,,41,45,+,102,102,,0,0,,0,,,57,42,32,0,55,0,60,15,20,69,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jul,29/7,,42.00,31,13,36,,12,22,+,41,61,,30,60,,2,6,,5,25,+,36,45,+,14,20,,22,30,,47,47,+,104,104,,0,0,,0,,,58,53,30,0,55,0,72,22,17,76,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Jul,30/7,,40.40,30,10,31,,8,18,+,41,62,,25,55,,0,2,,12,33,+,36,45,+,14,20,,15,18,,47,47,+,104,104,,0,0,,0,,,58,68,25,0,55,0,73,23,13,88,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Jul,31/7,31-Jul,39.40,29,8,29,,4,14,+,44,67,,18,44,,0,2,,12,39,+,33,43,+,13,18,,14,16,,47,47,+,104,104,,0,0,,0,,,58,100,22,0,55,10,76,23,13,88,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Aug,1/8,,40.30,30,6,27,,3,12,+,42,67,,36,60,,0,2,,12,39,+,35,45,+,9,11,,14,16,,44,47,+,104,104,,8,10,,0,,,58,100,19,23,54,10,77,24,10,90,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Aug,2/8,,45.80,34,5,27,,6,15,+,42,65,,50,74,,0,2,,12,48,+,35,48,+,31,35,,12,14,,53,55,+,102,102,,8,10,,0,,,58,95,17,23,55,10,75,24,8,93,32,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Aug,3/8,,46.30,35,5,24,,4,13,+,52,75,,50,74,,8,12,,12,48,+,30,40,+,31,31,,11,13,,53,55,+,102,102,,7,10,,0,,,59,85,15,16,52,10,75,24,7,104,37,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Aug,4/8,,48.00,36,5,22,,3,12,+,65,88,,50,78,,13,17,,12,48,+,22,38,+,29,29,,10,13,,53,55,+,102,102,,15,18,,2,,,60,75,14,16,49,13,74,24,7,106,40,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Aug,5/8,,48.70,37,14,30,,3,12,+,70,93,,46,74,,13,17,,12,48,+,20,32,+,29,29,,10,12,,54,55,+,115,115,,15,25,,25,,,62,65,12,12,47,13,74,24,12,108,40,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Aug,6/8,,46.60,36,19,35,,2,12,+,73,93,,40,68,,1,3,,17,53,+,10,14,+,39,41,,10,12,,54,55,+,115,115,,15,25,,22,,,62,60,12,12,45,7,66,24,12,115,37,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
