MOUNT BULLER,,,,,"SNOW DEPTHS - NATURAL FROM 1993, SNOW-MAKING FROM 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Daily data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Day,,10 Year Average Snow Making Depth,10 Year Average Natural Snow Depth,2017 Natural Snow Depth,2017 Average depth in snow-making area (61 ha),+ means that snowmaking depth is = or > than natural snow depth,2016 Natural Snow Depth,2016 Average depth in snow-making area (61 ha),+ means that snowmaking depth is = or > than natural snow depth,2015 Natural Snow Depth,2015 Average depth in snow-making area (61 ha),+ means that snowmaking depth is = or > than natural snow depth,2014 Natural Snow Depth,2014 Average depth in snow-making area (61 ha),,2013 Natural Snow Depth,2013 Average depth in snow-making area (61 ha),,2012 Natural Snow Depth,2012 Average depth in snow-making area (100 ha),,2011 Natural Snow Depth,2011 Average depth in snow-making area (100 ha),,2010 Natural Snow Depth,2010 Average depth in snow-making area (61 ha),,2009 Natural Snow Depth,2009 Average depth in snow-making area (61 ha),,2008 Natural Snow Depth,2008 Average depth in snow-making area (61 ha),BLANK,2007 Natural Snow Depth,2007 Average depth in snow-making area (61 ha),BLANK,2006 Natural Snow Depth,2006 Average depth in snow-making area (61 ha),,2005,BLANK,BLANK,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jun,29/6,,43.80,25,7,37,,42,63,+,0,35,,54,58,,13,33,,27,61,+,24,48,+,11,46,+,32,42,,3,0,,42,52,,10,35,,43,,,73,24,46,0,62,20,27,7,12,10,45,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Jun,30/6,,45.30,24,11,38,,42,69,+,0,35,,59,62,,8,30,,28,61,+,23,47,+,14,52,+,24,42,,0,0,,45,55,,8,33,,43,,,73,24,46,0,62,17,27,7,16,23,45,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jul,1/7,,46.50,27,13,39,,55,90,+,0,30,,61,64,,5,25,,32,67,+,23,47,+,17,56,,17,31,,12,0,,48,55,,6,31,,30,,,73,24,46,0,62,14,27,7,30,35,45,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Jul,2/7,,48.70,29,13,43,,50,90,+,0,38,,61,64,,0,20,,34,70,+,23,47,+,20,59,,24,41,,22,0,,51,58,,3,29,,32,,,73,24,46,0,60,14,27,7,30,40,45,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Jul,3/7,3-Jul,50.10,31,12,44,,45,85,+,0,38,,60,63,,0,17,,39,75,+,22,46,+,22,61,,48,58,,24,0,,51,58,,3,29,,32,,,73,24,46,0,58,14,25,7,30,40,42,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Jul,4/7,,52.40,30,8,40,,44,84,+,0,38,,60,63,,0,15,,39,75,+,19,45,+,22,61,,48,58,,24,29,,47,56,,3,29,,30,,,73,24,48,0,58,14,27,7,30,40,40,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Jul,5/7,,55.10,33,5,36,,42,69,+,0,40,,62,66,,1,15,,39,75,+,27,55,+,22,61,,54,70,,24,30,,60,70,,3,29,,30,,,73,24,50,0,50,14,20,7,25,40,38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Jul,6/7,,61.40,38,15,38,,45,86,+,0,40,,69,73,,1,15,,39,75,+,45,75,+,25,65,,54,70,,24,30,,75,85,,3,30,,30,,,75,24,60,5,50,14,5,7,27,42,35,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Jul,7/7,,64.70,39,23,39,,42,84,+,0,40,,71,75,,12,34,,39,75,+,52,85,+,25,67,,54,70,,20,27,,79,90,,0,28,,30,,,75,21,66,13,50,14,5,7,32,42,35,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Jul,8/7,,68.90,43,28,44,,41,83,+,5,40,,71,75,,29,41,,39,78,+,53,87,+,25,67,,52,72,,36,50,,83,96,,0,28,,25,,,80,19,66,6,50,14,6,7,33,42,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
