MOUNT STIRLING,,,,"SNOW DEPTHS - NATURAL FROM 1993, SNOW-MAKING FROM 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Daily data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Day,,10 Year Average Natural Snow Depth,2017 Natural Snow Depth,2017 Average depth in snow-making area,NO SNOW MAKING,2016 Natural Snow Depth,2016 Average depth in snow-making area,NO SNOW MAKING,2015 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2014 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2013 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2012 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2011 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2010 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2009 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2008 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2007 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2006 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2005,NO SNOW MAKING,NO SNOW MAKING,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jul,13/7,,35,11,0,,45,,,23,,,97,,,20,,,20,,,32,,,2,,,15,,,50,,,46,,,6,,,10,,,45,10,75,0,25,0,18,10,20,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jul,14/7,,36,11,0,,50,,,25,,,97,,,20,,,20,,,32,,,2,,,15,,,50,,,46,,,6,,,7,,,44,10,80,0,27,0,16,10,20,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jul,15/7,,38,11,0,,57,,,40,,,97,,,10,,,20,,,32,,,5,,,17,,,52,,,46,,,6,,,12,,,40,10,75,0,30,0,15,10,20,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Jul,16/7,,38,10,0,,55,,,40,,,97,,,2,,,22,,,32,,,9,,,35,,,46,,,45,,,6,,,12,,,40,10,75,0,30,0,15,20,20,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Jul,17/7,17-Jul,39,10,0,,55,,,40,,,101,,,2,,,20,,,32,,,9,,,35,,,46,,,45,,,6,,,15,,,40,10,75,3,30,0,15,30,20,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,18/7,,40,10,0,,51,,,40,,,109,,,2,,,20,,,30,,,9,,,35,,,46,,,53,,,3,,,17,,,45,10,82,7,30,0,15,25,20,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jul,19/7,,40,15,0,,47,,,37,,,109,,,0,,,20,,,32,,,9,,,35,,,40,,,70,,,3,,,19,,,49,10,75,7,30,0,15,25,18,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Jul,20/7,,40,18,0,,36,,,36,,,109,,,0,,,20,,,40,,,13,,,38,,,40,,,70,,,3,,,19,,,45,5,75,4,30,20,13,25,18,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jul,21/7,,40,19,0,,28,,,36,,,109,,,0,,,20,,,40,,,13,,,32,,,48,,,70,,,3,,,19,,,43,5,75,6,30,22,10,25,20,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Jul,22/7,,40,20,0,,20,,,32,,,109,,,26,,,20,,,40,,,13,,,31,,,47,,,63,,,3,,,19,,,40,5,75,6,36,29,8,20,27,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Jul,23/7,,41,20,0,,38,,,30,,,109,,,28,,,20,,,40,,,13,,,30,,,47,,,58,,,0,,,19,,,40,5,80,5,42,23,10,20,30,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jul,24/7,24-Jul,40,19,0,,35,,,28,,,109,,,28,,,20,,,40,,,13,,,30,,,45,,,56,,,0,,,15,,,40,45,80,5,55,20,9,18,30,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,25/7,,43,18,0,,40,,,35,,,109,,,28,,,20,,,40,,,13,,,30,,,55,,,56,,,0,,,12,,,49,45,82,4,42,20,7,18,35,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Jul,26/7,,44,17,0,,45,,,44,,,109,,,25,,,20,,,40,,,13,,,30,,,55,,,56,,,0,,,12,,,46,45,80,4,65,20,6,18,32,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jul,27/7,,43,15,0,,50,,,50,,,100,,,25,,,20,,,40,,,10,,,28,,,55,,,56,,,0,,,12,,,46,45,80,4,65,15,4,15,32,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
